,property_id,check_in_date,room_id,successful_bookings,capacity,mmm yy,week no,occupancy_rate,property_name,is_weekend
0,16559,2022-05-01,RT1,25,30,May 22,19,83.0,Atliq Exotica,1
1,19562,2022-05-01,RT1,28,30,May 22,19,93.0,Atliq Bay,1
2,19563,2022-05-01,RT1,23,30,May 22,19,77.0,Atliq Palace,1
3,17558,2022-05-01,RT1,13,19,May 22,19,68.0,Atliq Grands,1
4,16558,2022-05-01,RT1,18,19,May 22,19,95.0,Atliq Grands,1
5,17560,2022-05-01,RT1,28,40,May 22,19,70.0,Atliq City,1
6,19558,2022-05-01,RT1,25,40,May 22,19,62.0,Atliq Grands,1
7,19560,2022-05-01,RT1,23,26,May 22,19,88.0,Atliq City,1
8,17561,2022-05-01,RT1,22,26,May 22,19,85.0,Atliq Blu,1
9,16560,2022-05-01,RT1,24,34,May 22,19,71.0,Atliq City,1
10,16561,2022-05-01,RT1,16,18,May 22,19,89.0,Atliq Blu,1
11,16562,2022-05-01,RT1,20,31,May 22,19,65.0,Atliq Bay,1
12,16563,2022-05-01,RT1,36,41,May 22,19,88.0,Atliq Palace,1
13,17559,2022-05-01,RT1,26,32,May 22,19,81.0,Atliq Exotica,1
14,17562,2022-05-01,RT1,12,20,May 22,19,60.0,Atliq Bay,1
15,17563,2022-05-01,RT1,21,25,May 22,19,84.0,Atliq Palace,1
16,18558,2022-05-01,RT1,11,15,May 22,19,73.0,Atliq Grands,1
17,18559,2022-05-01,RT1,29,42,May 22,19,69.0,Atliq Exotica,1
18,18561,2022-05-01,RT1,31,33,May 22,19,94.0,Atliq Blu,1
19,18562,2022-05-01,RT1,34,38,May 22,19,89.0,Atliq Bay,1
20,18563,2022-05-01,RT1,18,27,May 22,19,67.0,Atliq Palace,1
21,19559,2022-05-01,RT1,18,24,May 22,19,75.0,Atliq Exotica,1
22,19561,2022-05-01,RT1,25,36,May 22,19,69.0,Atliq Blu,1
23,17564,2022-05-01,RT1,9,16,May 22,19,56.0,Atliq Seasons,1
24,19562,2022-05-01,RT2,23,23,May 22,19,100.0,Atliq Bay,1
